cluster	topic	roleset	prop name	prop rol desc	arg0	arg1	argL	argT	example
charge | blame | cite	45	accuse.01	charge with wrongdoing, blame	0: accuser | 1: accused	prosecutors	Christopher Kenyon Simpson			Christopher Kenyon Simpson of Fort Coffee is <m> accused </m> of fatally shooting Ka'Loni Marie Flynn of Fort Smith , Ark .
charge | blame | cite	41	accuse.01	charge with wrongdoing, blame	0: accuser | 1: accused	South Sudan	Sudan	South Sudan's Unity state	11	South Sudan <m> Accuses </m> Sudan of Bombing Civilian Camp Amid Fears of War
familiarize | use | condition	38	accustom.01	(cause to) be used to	0: cause or agent | 1: thing getting used to something	earthquake.02	folks	Lake County Cobb Mountain	03	Lake County's Cobb Mountain community was shaken awake early Thursday morning by a magnitude 4 . 6 earthquake that startled even folks <m> accustomed </m> to seismic activity because of its size .
get | obtain | buy	44	acquire.01	get, acquire	0: agent, entity acquiring something | 1: thing acquired	HP	EDS		26 August 2008	Hewlett-Packard 's CEO says he believes the EDS <m> acquisition </m> will make the company 's service offerings stronger .
get | obtain | buy	43	acquire.01	get, acquire	0: agent, entity acquiring something | 1: thing acquired	AMD	ATI			Advanced Micro Devices ( NYSE : AMD ) announced the largest <m> acquisition </m> in its history Monday , paying about $ 5.4 billion to acquire graphics chip specialist ATI Technologies .
occur | happen | affair	38	active.02	live, in use, participating in	0: active entity | 1: activity engaged in					Lake County's Cobb Mountain community was shaken awake early Thursday morning by a magnitude 4 . 6 earthquake that startled even folks accustomed to <m> seismic activity </m> because of its size .
attach | join | include	42	add.02	mathematics, mixing, add something to something else, increase	0: adder | 1: thing being added	T-Mobile	BlackBerry Q10		15 May 2013	T - Mobile <m> Adds </m> BlackBerry Q10 to its 4G LTE Smartphone Portfolio
speak | regard | consider	43	address.01	put an address on, or speak to	0: addresser | 1: item being addressed (letter, speech, etc)	AMD	deficit.01			<m> Addressing </m> a deficiency of its own and further upping the competitive tension between it and chief rival Intel ( nasdaq : INTC - news - people ) , Advanced Micro Devices ( nyse : AMD - news - people ) intends to acquire graphics chipmaker ATI Technologies ( nasdaq : ATYT - news - people ) in a $ 5.4 billion deal .
announce | state | report	40	address.01	put an address on, or speak to	0: addresser | 1: item being addressed (letter, speech, etc)	Apple	keynote	San Francisco	NA	While Apple 's final <m> keynote address </m> at the annual MacWorld convention in San Francisco did n't contain the iPhone-related announcements many had hoped for , we were given all of the details on Apple 's latest revamp to their largest and most powerful MacBook Pro .
travel | expedition | trip 	39	adventure.01	courageous expedition	0: adventurer | 1: the adventure	Matt Smith	travel.01	NA	NA	Just hours after little-known actor Matt Smith was named as the new Doctor in the BBC Wales hit show , speculation mounted that a star name would accompany him on his time-travelling <m> adventures </m> .
incident | occur | phenomenon	45	affair.01	an illicit romantic relationship	0: entity having an affair | 1: with whom; other party	Scott Peterson	Amber Frey			A jury found Scott Peterson guilty Friday of killing his pregnant wife , Laci , and their unborn child in the saga of suburban <m> adultery </m> and betrayal that transfixed much of the nation for nearly two years .
earthquake | tremor | tsunami	37	aftershock.01	secondary earthquake, coming after the main one	1: ground shaken (plates, region, epicenter)	city	NA	Manokwari	NA	As aid started to arrive , <m> hundreds of aftershocks </m> continued to rattle the coastal city which was hit by the 7.6 and 7.5 magnitude quakes early on Sunday , cutting power and prompting a brief tsunami warning .
childish | minor | young	36	age.03	(determine to) be a certain age	0: entity assessing age | 1: entity being assessed for age	NA	girls	San Antonio	08	Prosecutors Tuesday put on the most shocking evidence yet in the trial of Warren Jeffs , who is charged with sexually assaulting <m> underage </m> girls .
consent | waive | propose	44	agree.01	agree	0: agreer | 1: proposition	Hewlett-Packard	acquire.01	NA	11	Electronics manufacturer Hewlett - Packard ( hp . com ) announced on Tuesday that it has signed a <m> definitive agreement </m> to acquire EYP Mission Critical Facilities ( eypmcf . com ) , a consulting company that specializes in strategic technology planning , design and operations support for large - scale data centers .
consent | waive | propose	43	agree.01	agree	0: agreer | 1: proposition	AMD	buy.01			AMD <m> agreed </m> to buy Markham , Ont-based ATI for around $ 5.4 billion in cash and stock , the companies announced Monday .
help | assist | support	37	aid.01	help	0: helper | 1: project	NA	NA	Indonesia's Aceh	NA	As <m> aid </m> started to arrive , hundreds of aftershocks continued to rattle the coastal city which was hit by the 7.6 and 7.5 magnitude quakes early on Sunday , cutting power and prompting a brief tsunami warning .
bomb | strike | attack	41	airstrike.12	attack from the air	0: striker | 1: target struck/attacked	Sudan	camp	South Sudan	11	South Sudan accuses Sudan of <m> air strike </m> on refugee camp
warn | caution | announce	37	alert.01	alert, warn	0: entity giving warning | 1: entity getting warning	US Geological Survey	NA	Manokwari	NA	The quake struck off the coast at 7:48 a.m. local time , 75 kilometers ( 50 miles ) west of the region 's main city of Manokwari , the U.S. Geological Survey said in an <m> alert </m> .
accuse | say | charge	41	allege.01	say without proof	0: speaker, alleger | 1: utterance, allegation	organization	bomb.01	Yida	11	The government of Sudan bombed the Samaritan's Purse refugee camp in Yida , South Sudan , on Thursday , Nov . 10 , <m> alleges </m> the nondenominational evangelical Christian organization .
surprise | shock | emotional	41	anger.01	to make angry, mad	0: cause of anger | 1: experiencer	attack.01	Mr Ging	Hamas	NA	Speaking by phone from the UN 's Relief and Works Agency in Gaza , Mr Ging struggled to contain his <m> anger </m> at the attack that has also left more 50 people with serious injuries , 10 of whom remain critical .
state | confirm | report	42	announce.01	say for all to hear	0: announcer | 1: utterance	T-Mobile	available.02		24 April 2013	T - Mobile USA <m> Announces </m> BlackBerry Q10 Availability
state | confirm | report	45	announce.01	say for all to hear	0: announcer | 1: utterance		recommend.01		13 December 2004	Unlike on Nov. 12 , when sobs filled the air as Peterson was found guilty of murdering his wife and their unborn child , there was an almost surreal stillness in the courtroom while the death recommendation was <m> announced </m> .
state | confirm | report	44	announce.01	say for all to hear	0: announcer | 1: utterance	HP	sign.02		12 November 2007	HP today <m> announced </m> that it has signed a definitive agreement to acquire EYP Mission Critical Facilities Inc . , a consulting company specializing in strategic technology planning , design , and operations support for large - scale data centers .
state | confirm | report	43	announce.01	say for all to hear	0: announcer | 1: utterance	AMD	purchase.01		24 July 2006	Yesterday Advanced Micro Devices Inc. ( AMD ) , a leading global CPU maker , <m> announced </m> its purchase of Canada-based graphics chips maker ATI Technologies Inc. in a US $ 5.4 billion deal that many said would help AMD compete more effectively with Intel Corp. , its largest-in-the-world rival .
say | state | report	36	announce.01	say for all to hear	0: announcer | 1: utterance	authorities	arrest.01	Bountiful	NA	Two leaders of polygamous factions in Bountiful , British Columbia , have been arrested , Canadian authorities <m> announced </m> .
state | say | report	40	announce.01	say for all to hear	0: announcer | 1: utterance	Tim Cook	new stuff	San Francisco	06	After a witty intro by Siri herself , Apple CEO Tim Cook took the stage in San Francisco to welcome developers and <m> announce </m> new stuff .
state | say | report	39	announce.01	say for all to hear	0: announcer | 1: utterance	Steven Moffat	replace.01	NA	08	Doctor Who has finally selected its 12th doctor : Peter Capaldi is officially set to replace exiting star Matt Smith as the TARDIS leader , producer Steven Moffat <m> announced </m> on the live BBC special Doctor Who Live : The Next Doctor Sunday .
expect | look_forward | await	43	anticipate.01	expect	0: anticipater | 1: thing anticipated		deal.01			The deal , which had been <m> anticipated </m> for over a year , gives AMD high-end graphics technology and bolsters the company 's strategy to overtake Intel as the dominant supplier of chips that power personal computers and other devices .
seem | visible | be	43	appear.02	seem, appear, be unmistakable (for/as)	1: thing seeming, often requires concatenation		take_over.12			Even though the takeover <m> looks </m> fairly valued , RBC analyst Steve Arthur said there is limited upside to the offer unless competing bids are made for ATI .
clap | cheer | hail	45	applaud.01	clap, sometimes metaphorically	0: clapper | 1: thing approved of	dozens of people	decide.01	Modesto, CA		Dozens of people in Laci Peterson 's hometown who were donating blood in her memory <m> applauded </m> when they heard a jury 's decision to execute Scott Peterson for the murder of his pregnant wife
consent | confirm | assent 	44	approve.01	assent to	0: approver | 1: thing approved	regulators	acquire.01			Bill Ritz , EDS spokesman , pointed out that Hewlett-Packard 's acquisition of EDS still needs the <m> approval </m> of regulators and EDS ' stockholders .
consent | confirm | assent 	43	approve.01	assent to	0: approver | 1: thing approved	regulators	acquire.01			The acquisition , which is subject to shareholder and regulatory <m> approvals </m> , would turn AMD into one of the world 's largest providers of graphics chips .
call | command | summon 	36	arraign.01	call before court to answer indictment	0: legal authority | 1: person arraigned	NA	Warren Jeffs	Texas	12	Warren Jeffs <m> arraigned </m> in Texas on sex charges
set_up | establish | organize	36	arrange.01	build	0: builder | 1: construction, item/material being arranged	Warren Jeffs	marry.01	Arizona	06	Five years ago , Warren Jeffs was charged with sex crimes resulting from the polygamous marriages he <m> arranged </m> for his followers in the Fundamentalist Church of Jesus Christ of Latter Day Saints ( FLDS ) .
catch | get | capture	36	arrest.01	like a criminal	0: police | 1: criminal	British Columbia 's Royal Canadian Mounted Police	Winston Blackmore	Bountiful	NA	Two leaders of polygamous factions in Bountiful , British Columbia , have been <m> arrested </m> , Canadian authorities announced .
show_up | appear | come	37	arrive.01	move, come to	1: entity in motion / 'comer'	aid.01	NA	Manokwari	NA	As aid started to <m> arrive </m> , hundreds of aftershocks continued to rattle the coastal city which was hit by the 7.6 and 7.5 magnitude quakes early on Sunday , cutting power and prompting a brief tsunami warning .
request | plead | order	45	ask.02	ask a favor, ask a request, ask for	0: asker | 1: favor	prosecutor	sentence.01			Laci Peterson 's loved ones have `` a hole in their hearts that will never be repaired , '' a prosecutor told jurors today as he <m> asked </m> them to send convicted double-murderer Scott Peterson to his death for killing his wife and unborn son .
offense | charge | rape	36	assault.01	to make an assault, attack	0: assaulter | 1: entity assaulted	Warren Jeffs	two girls	Texas	08	Prosecutors Tuesday put on the most shocking evidence yet in the trial of Warren Jeffs , who is charged with <m> sexually assaulting </m> underage girls .
offense | attack | strike	41	assault.01	to make an assault, attack	0: assaulter | 1: entity assaulted	Israel	Gaza	Gaza	NA	Israel 's <m> assault </m> on Gaza has exacted the bloodiest toll of civilian lives yet , when the bombing of UN schools being used as refugee centres and of housing killed more than 50 people , including an entire family of seven young children .
reassure | remedy | assuage	44	assure.01	calm someone's nerves, pledge	0: causer of assurance | 1: assured one	HP				`` There can be no <m> assurances </m> that an agreement will be reached or that a transaction will be consummated , '' HP said in a statement .
strike | hit | assault	41	attack.01	to make an attack, criticize strongly	0: attacker | 1: entity attacked	Israel	school	Jabaliya	01	`` We think the <m> attack </m> is completely unacceptable and strongly condemn the fact that civilians were hit while sheltering themselves from the violence , '' said Cristina Gallach , spokesperson of EU foreign policy chief Javier Solana .
try | endeavor | effort	43	attempt.01	try	0: Agent/Entity Trying | 1: thing tried	AMD	compete.02			Advanced Micro Devices will acquire server vendor SeaMicro in an <m> attempt </m> to make a run at Intel in the microserver market .
watch | observe | see	42	attend.02	pay close attention to	0: entity paying attention | 1: to what	BlackBerry fans	confirm.01			BlackBerry fans <m> take </m> note as T - Mobile has confirmed the availability of the QWERTY - based Q10 .
watch | observe | see	45	attend.02	pay close attention to	0: entity paying attention | 1: to what	US public	case.03			The case first captured the nation 's <m> attention </m> when Laci Peterson disappeared from her Modesto home the day before Christmas 2002 and has engrossed the country ever since .
ready | prepare | assemble	42	available.02	ready for use	1: available to whom/what? entity having access to arg2	customers	BlackBerry Q10	NA	04	T - Mobile confirmed in an email that its business customers will have the opportunity to register for the device starting next week on April 29th , with <m> availability </m> and pricing details to follow at a later date .
wake | rouse | shake	38	awake.03	be awake	1: (former) sleeper	community	NA	Lake County Cobb Mountain	03	Lake County's Cobb Mountain community was <m> shaken awake </m> early Thursday morning by a magnitude 4 . 6 earthquake that startled even folks accustomed to seismic activity because of its size .
fight | war | wager	43	battle.01	fight (with)	0: combatant | 1: fight or other combatant, if separate	AMD	Intel			The pitched <m> battle </m> for supremacy in the chip-making market reached a critical phase yesterday with Advanced Micro Devices ( AMD ) in Sunnyvale , Calif . announcing its decision to acquire Canadian graphic cards manufacturer ATI Technologies ( ATI ) .
have | birth | deliver	45	bear.02	bear children	0: mother | 1: child	Laci Peterson	unborn fetus			Laci Peterson 's loved ones have `` a hole in their hearts that will never be repaired , '' a prosecutor told jurors today as he asked them to send convicted double-murderer Scott Peterson to his death for killing his wife and <m> unborn </m> son .
be | next | succeed	39	become.01	change of state	1: entity changing	Peter Capaldi	Doctor Who	NA	07	Peter Capaldi is the bookies' favourite to <m> become </m> the next Doctor Who .
start | commence | kick_off	42	begin.01	start, with agent	0: beginner, Agent | 1: Thing begun - NP, not S-node!	T-Mobile	register.02	NA	04	T - Mobile will carry the BlackBerry Q10 , business registration <m> begins </m> April 29th
start | commence | kick_off	36	begin.01	start, with agent	0: beginner, Agent | 1: Thing begun - NP, not S-node!	NA	investigate.01	Cranbrook	NA	A follow-up investigation <m> began </m> last September and the two men were arrested this morning and taken to the RCMP detachment in Cranbrook , B.C. , Shields said .
start | commence | kick_off	41	begin.01	start, with agent	0: beginner, Agent | 1: Thing begun - NP, not S-node!	NA	rebel.01	South Sudan	11	Nevertheless , on Thursday afternoon an Antonov bomber dropped four bombs on the South Sudanese area of Yida , hitting a refugee camp of roughly 21 , 000 people , some of them northern Sudanese who had crossed the border since the rebellion in Sudan <m> began </m> .
think | consider | trust	44	believe.01	believe	0: believer | 1: believed	Mark Hurd	make.02			Hewlett-Packard 's CEO says he <m> believes </m> the EDS acquisition will make the company 's service offerings stronger .
think | consider | trust	43	believe.01	believe	0: believer | 1: believed	author	remain.01			We think not too much worse off than before the deal , and <m> believe </m> shares in the company remain a compelling way to play growth in gaming- and media-oriented computing .
advantage | good | superior	43	benefit.01	give advantage to	0: giver | 1: benefactive, given-to	offer.01	ATI shares			Even though the takeover looks fairly valued , RBC analyst Steve Arthur said there is limited <m> upside </m> to the offer unless competing bids are made for ATI .
wager | gamble | risk	43	bet.01	wager, making a wager	0: better | 1: amount of bet	AMD	$334 million			AMD has made a $334 million <m> bet </m> on the energy - efficient microserver market .
give_away | affair | deceive	45	betray.01	treason	0: betrayer | 1: betrayed	Scott Peterson	Laci Peterson			A jury found Scott Peterson guilty Friday of killing his pregnant wife , Laci , and their unborn child in the saga of suburban adultery and <m> betrayal </m> that transfixed much of the nation for nearly two years .
buy | acquire | auction	44	bid.01	auction	0: bidder | 1: the target, goods	HP	EDS			Earlier this month Hewlett-Packard unveiled a <m> bid </m> of nearly $ 14 billion bid to purchase EDS .
buy | acquire | auction	43	bid.01	auction	0: bidder | 1: the target, goods		ATI			Even though the takeover looks fairly valued , RBC analyst Steve Arthur said there is limited upside to the offer unless competing <m> bids </m> are made for ATI .
increase | add | expand	42	bolster.01	cause a (small) increase in, strengthen	0: causer, agent | 1: thing increasing or strengthened	T-Mobile	portfolio	NA	NA	T-Mobile is <m> bolstering </m> its smartphone portfolio by picking up Research In Motion ( NSDQ : RIMM ) 's next-generation BlackBerry Curve .
increase | add | expand	43	bolster.01	cause a (small) increase in, strengthen	0: causer, agent | 1: thing increasing or strengthened	deal.01	intend.01			The deal , which had been anticipated for over a year , gives AMD high-end graphics technology and <m> bolsters </m> the company 's strategy to overtake Intel as the dominant supplier of chips that power personal computers and other devices .
attack | strike | hit	41	bomb.01	to attack or damage, attacking with bombs	0: attacker, agent | 1: entity bombed	government	camp	South Sudan	11	Samaritan's Purse Refugee Camp <m> Bombed </m> , Allegedly By Sudanese Government
airstrike | attack | hit	41	bombard.01	to attack or assail persistently	0: attacker, agent | 1: entity (e.g. region) bombarded	Sudan	camp	South Sudan	11	South Sudanese officials have condemned Sudan after an aerial <m> bombardment </m> of a refugee camp in their territory .
carry | give | have	42	bring.01	carry along with, move literally or metaphorically	0: bringer | 1: thing brought	T-Mobile	BlackBerry Q10	NA	05	T - Mobile continues to add to its growing line - up of 4G LTE devices by partnering with BlackBerry to <m> bring </m> customers the BlackBerry Q10 .
carry | give | have	43	bring.01	carry along with, move literally or metaphorically	0: bringer | 1: thing brought	merge.01	benefit.01			Another Canadian analyst noted that the merger was likely to <m> bring </m> significant benefits to both companies .
have | introduce | carry	40	bring.01	carry along with, move literally or metaphorically	0: bringer | 1: thing brought	Apple	Mac portables	NA	NA	With a 17-inch MacBook Pro update unveiled at today 's Macworld 2009 keynote , Apple has finally <m> brought an entire line of Mac portables into view </m> .
have | introduce | carry	41	bring.01	carry along with, move literally or metaphorically	0: bringer | 1: thing brought	Tuesday	urgent.01	Gaza	NA	An Israeli mortar strike that killed about 40 Palestinians sheltering in a UN school Tuesday <m> brought </m> new urgency to diplomatic efforts to end Israel 's military onslaught in the Gaza Strip , as the UN Security Council met to discuss the crisis .
construct | create | make	40	build.01	construct	0: builder | 1: construction	Apple	enclosure	NA	NA	<m> Built </m> on the precision unibody enclosure , the Pro was launched as the `` world 's thinnest 17 '' notebook , '' at only 0.98 inches thick , and also the `` world 's lightest , '' weighing in at 6.6 pounds
have | introduce | carry	40	build.03	include	0: agent, entity causing some grouping | 1: theme, thing being included in some group	Apple	battery	NA	01	Apple Inc on Tuesday ( Jan 6 ) introduced what it claims to be the world 's thinnest and lightest 17-inch laptop with a new unibody aluminium enclosure and a <m> built-in </m> battery said to deliver up to eight hours of use and a lifespan three times longer than conventional laptop batteries .
bid | acquire | purchase	44	buy.01	purchase	0: buyer | 1: thing bought	HP	Compaq		2002	If the deal is completed , it would be HP 's biggest acquisition since it <m> bought </m> Compaq Computer Corp. for $ 19 billion in 2002 .
bid | acquire | purchase	43	buy.01	purchase	0: buyer | 1: thing bought	AMD	ATI		24 July 2006	Advanced Micro Devices Inc. shook up the personal computer industry by <m> buying </m> ATI Technologies Inc. for US $ 5.4-billion yesterday , opening up a new front in the battle with Intel Corp. to control the computer chip market .
label | deem | dub	36	call.01	label	0: caller | 1: item being labelled	church	two girls as 'brides'	Texas	08	A Texas jury convicted polygamist sect leader Warren Jeffs of child sexual assault Thursday in a case stemming from two young followers he took as brides in what his church <m> calls </m> spiritual marriages .
label | deem | dub	41	call.01	label	0: caller | 1: item being labelled	EU	bomb.01	Jabaliya	01	The bombing has drawn international condemnation , with the EU <m> calling </m> it `` completely unacceptable . ''
confer | meet | gather	44	call.02	summon, perhaps to or by phone	0: caller | 1: entity summoned	HP	reporters		20 May 2008	In a May 20 <m> conference call </m> with reporters to announce HP 's 2008 second-quarter financial earnings , Hurd offered his thoughts on the upcoming acquisition of EDS .
pursue | chase | run	43	campaign.01	work towards a goal	0: campaigner | 1: cause, goal	AMD	dethrone.01			The imminent purchase of ATI , analysts say , is the most vital element in AMD 's concerted <m> campaign </m> to dethrone the mighty Intel Corp .
pursue | chase | run	41	campaign.01	work towards a goal	0: campaigner | 1: cause, goal	Israel	NA	Gaza	NA	Doctors in Gaza said more than 40 people died , including children , in what appears to be the biggest single loss of life of the <m> campaign </m> when Israeli bombs hit al-Fakhora school , in Jabaliya refugee camp , while it was packed with hundreds of people who had fled the fighting .
able | competent | power	40	capable.01	capable	1: capable entity	17-inch MacBook Pro	graphics	NA	NA	Apple on Tuesday launched a refresh of the 17-inch MacBook Pro , giving the company 's largest laptop an eight-hour battery life , a faster Intel ( NSDQ : INTC ) processor , and better <m> graphics capabilities </m> .
obtain | grab | hold	45	capture.01	get	0: getter | 1: thing gotten	case.03	attend.02			The case first <m> captured </m> the nation 's attention when Laci Peterson disappeared from her Modesto home the day before Christmas 2002 and has engrossed the country ever since .
implement | go_through | cause	41	carry_out.03	carry out: implement	0: implementer | 1: thing implemented	forces	strike.01	South Sudan's Unity state	11	Sudan's armed forces denied they <m> carried out </m> the strike .
have | bear | possess	42	carry.01	bring with, have	0: carrier | 1: thing carried	T-Mobile	BlackBerry Q10	Na	04	T - Mobile Confirms it Will <m> Carry </m> BlackBerry Q10
name | assign | become	39	cast.02	name, assign a role	0: namer, assigner of a role | 1: entity playing the role	NA	Peter Capaldi	NA	08	Doctor Who Revealed : Peter Capaldi <m> Cast </m> as the 12th Time Lord !
injure | scratch | hurt	41	casualties.01	accident that causes one to die	0: cause of death, accident | 1: deceased	bombs	refugees	South Sudan	11	A government official initially reported deaths , but an American activist who spoke to aid workers at the camp later said there were no <m> casualties </m> .
make | force | pressure	43	cause.01	impelled action	0: forcer, causer | 1: impelled action		positive.02			AMD says there 's plenty of <m> reason </m> to be bullish on the deal .
make | force | pressure	37	cause.01	impelled action	0: forcer, causer | 1: impelled action	earthquake.02	collapse.01	Indonesia's Aceh	07	A strong 6 . 1 - magnitude earthquake struck Indonesia's northwestern province of Aceh today , <m> causing </m> buildings to collapse and injuring at least 50 people .
make | force | pressure	41	cause.01	impelled action	0: forcer, causer | 1: impelled action	attack.01	shock.01	Jabaliya	NA	The attack on the school has <m> caused </m> widespread shock across Israel , intensifying pressure on Prime Minister Ehud Olmert to reach a ceasefire .
stop | pause | agree	41	ceasefire.01	stop firing	0: implementer of cease-fire | 1: cease-fire with or between who?	Prime Minister Ehud Olmert	Israel	Jabaliya	NA	The attack on the school has caused widespread shock across Israel , intensifying pressure on Prime Minister Ehud Olmert to reach a <m> ceasefire </m> .
situate | site | locate	38	center.01	focus on; cause the centerpoint of one entity to align with the centerpoint of another entity	0: agent | 1: thing centered	NA	earthquake.02	Geyserville	03	The temblor struck at 2 : 09 a . m . and was <m> centered </m> in Geyserville , about 20 miles north of Santa Rosa , according to the U . S . Geological Survey .
try | attempt | able	42	chance.02	opportunity, possibility or probability	0: entity having an opportunity | 1: the opportunity or event	customers	register.02	NA	04	T - Mobile confirmed in an email that its business customers will have the <m> opportunity </m> to register for the device starting next week on April 29th , with availability and pricing details to follow at a later date .
transform | upheave | alter	43	change.01	transform	0: causer of transformation | 1: thing changing	purchase.01	ATI			Hartog said the purchase of ATI by AMD will involve ' some <m> changes </m> ' but he downplayed any potential lay-offs from among the company 's more than 3,000 employees .
prosecute | allege | sentence	36	charge.01	asking price	0: seller | 1: asking price					Two leaders of polygamous groups with ties to Utah have been arrested in Canada , <m> charged </m> with practicing polygamy .
prosecute | allege | sentence	45	charge.05	make an allegation or criminal charge against someone	0: assigner | 1: assigned	prosecutors	Christopher Kenyon Simpson	Oklahoma		The murder trial of a Spiro man <m> charged </m> in the deaths of a pregnant Arkansas woman and her fetus is underway in Poteau .
prosecute | allege | sentence	36	charge.05	make an allegation or criminal charge against someone	0: assigner | 1: assigned	prosecutors	Warren Jeffs	Texas	08	Prosecutors Tuesday put on the most shocking evidence yet in the trial of Warren Jeffs , who is <m> charged </m> with sexually assaulting underage girls .
follow | pursue | catch_up	44	chase.01	follow, pursue	0: follower | 1: thing followed	HP	IBM			Hewlett - Packard makes another acquisition , <m> chases </m> IBM
cost | buy | sell	40	cheap.02	inexpensive, lacking in quality	1: inexpensive thing	MacBook Air	NA	NA	06	Apple unveils <m> cheaper </m> Ivy Bridge - powered MacBook Air
pick | select | pick_out	39	choose.01	choose, pick	0: picker | 1: thing picked	NA	person	NA	NA	The guy is relatively unknown and the skeptics wondered if the right person was <m> chosen </m> .
pick | select | pick_out	40	choose.01	choose, pick	0: picker | 1: thing picked	Apple	WWDC week	NA	06	Apple has <m> chosen </m> WWDC week to announce an update to its MacBook Air line .
float | discuss | mention	42	circulate.01	(cause to) go around	0: causer | 1: thing going 'round		rumor.01			Rumors have been <m> floating </m> for weeks now and we knew the 8900 would be coming sometime in early '09 and tonight T-Mobile has made it official .
refer | mention | quote	36	cite.01	refer to	0: citer | 1: thing cited	Vancouver Sun	court documents	British Columbia	NA	Winston Blackmore and another member of the Fundamentalist Church of Jesus Christ of Latter Day Saints ( FLDS ) were arrested for violating a little-used law against polygamy , the Vancouver Sun reported on its website , <m> citing </m> court documents .
assert | declare | state	36	claim.01	assert	0: claimer, asserter | 1: thing claimed, asserted	Warren Jeffs	two girls as 'brides'	Texas	08	Warren Jeffs , leader of the polygamist FLDS religious sect , was sentenced to life in prison in Texas , convicted of sexually assaulting two girls , aged 15 and 12 , that he <m> claimed </m> as his 'brides . '
assert | declare | state	41	claim.01	assert	0: claimer, asserter | 1: thing claimed, asserted	Israel Defense Forces	militants	Gaza	NA	The United Nations on Wednesday denied Israel Defense Forces <m> claims </m> that there were Palestinian militants in the Gaza school bombed by Israel on Tuesday .
assert | report | state	40	claim.01	assert	0: claimer, asserter | 1: thing claimed, asserted	Apple Inc	17-inch laptop	NA	01	Apple Inc on Tuesday ( Jan 6 ) introduced what it <m> claims </m> to be the world 's thinnest and lightest 17-inch laptop with a new unibody aluminium enclosure and a built-in battery said to deliver up to eight hours of use and a lifespan three times longer than conventional laptop batteries .
complete | finish | end	44	close.03	come about, come to completion (as of deals)	0: entity making the deal | 1: the deal	HP	deal.01			`` The deal is supposed to <m> close </m> sometime in the second half of 2008 , '' Ritz said .
complete | finish | end	43	close.03	come about, come to completion (as of deals)	0: entity making the deal | 1: the deal	AMD	deal.01			For now , Arthur said AMD 's takeover deal , which is expected to <m> close </m> in the fourth quarter , effectively offers his one-year price target of $ 21 now .
fall | break | tumble	37	collapse.01	fall down, lower	0: agent, outside causer of collapse | 1: thing collapsing	earthquake.02	buildings	Indonesia's Aceh	07	A strong 6 . 1 - magnitude earthquake struck Indonesia's northwestern province of Aceh today , causing buildings to <m> collapse </m> and injuring at least 50 people .
amount | total | sum	43	combine.01	combine, mix, cause to combine, combine or mix together	0: agent, mixer | 1: ingredient one	AMD	$4.2 billion			The purchase is a <m> combination </m> of $ 4.2 billion in cash and 57 million shares of AMD stock .
